case_number,date,year,type,country,area,location,activity,sex,age,injury,fatal_(y/n),species,investigator_or_source,pdf,href_formula,original_order
2016.09.18.c,18-sep-16,2016,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,16.0,minor injury to thigh,n,nan,"orlando sentinel, 9/19/2016",2016.09.18.c-nsb.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.c-nsb.pdf,5993
2016.09.18.b,18-sep-16,2016,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,36.0,lacerations to hands,n,nan,"orlando sentinel, 9/19/2016",2016.09.18.b-luciano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.b-luciano.pdf,5992
2016.09.18.a,18-sep-16,2016,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,43.0,lacerations to lower leg,n,nan,"orlando sentinel, 9/19/2016",2016.09.18.a-nsb.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.a-nsb.pdf,5991
2016.09.17,17-sep-16,2016,unprovoked,australia,victoria,thirteenth beach,surfing,m,,struck by fin on chest & leg,n,nan,"the age, 9/18/2016",2016.09.17-angiolella.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.17-angiolella.pdf,5990
2016.09.15,16-sep-16,2016,unprovoked,australia,victoria,bells beach,surfing,m,,no injury: knocked off board by shark,n,2 m shark,"the age, 9/16/2016",2016.09.16-bellsbeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.16-bellsbeach.pdf,5989
2016.09.15.r,15-sep-16,2016,boat,australia,western australia,bunbury,fishing,,,shark rammed boat. no injury to occupant,n,nan,"west australian, 9/15/2016",2016.09.15.r-boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.15.r-boat.pdf,5988
2016.09.11,11-sep-16,2016,unprovoked,usa,florida,"ponte vedra, st. johns county",wading,m,60.0,minor injury to arm,n,3' to 4' shark,"news4jax, 9/11/2016",2016.09.11-pontevedra.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.11-pontevedra.pdf,5987
2016.09.07,07-sep-16,2016,unprovoked,usa,hawaii,"makaha, oahu",swimming,f,51.0,severe lacerations to shoulder & forearm,n,"tiger shark, 10?","hawaii news now, 9/7/2016",2016.09.07-oahu.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.07-oahu.pdf,5986
2016.09.06,06-sep-16,2016,unprovoked,new caledonia,north province,koumac,kite surfing,m,50.0,fatal,y,nan,"tvanouvelles, 9/6/2016",2016.09.06-jewell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.06-jewell.pdf,5985
2016.09.05.b,05-sep-16,2016,unprovoked,usa,south carolina,"kingston plantation, myrtle beach, horry county",boogie boarding,f,12.0,lacerations & punctures to lower right leg,n,nan,"c. creswell, gsaf",2016.09.05.b-williams.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.b-williams.pdf,5984
2016.09.05.a,05-sep-16,2016,unprovoked,australia,western australia,injidup,surfing,m,,"no inury, board broken in half by shark",n,nan,"perth now, 9/5/2016",2016.09.05.a-penman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.a-penman.pdf,5983
2016.09.04,04-sep-16,2016,unprovoked,usa,florida,"new smyrna beach, volusia county",body boarding,m,9.0,foot bitten,n,nan,"orlando sentinel, 9/7/2016",2016.09.04-moore.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.04-moore.pdf,5982
2016.09.01,01-sep-16,2016,unprovoked,usa,california,"refugio state beach, santa barbara county",spearfishing,m,22.0,two toes broken & lacerated,n,white shark,"r. collier, gsaf",2016.09.01-mcquillen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.01-mcquillen.pdf,5981
2016.08.29.b,29-aug-16,2016,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,25.0,lacerations to right foot,n,"bull shark, 6'","news channel 8, 8/30/16",2016.08.29.b-cumiskey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.b-cumiskey.pdf,5980
2016.08.29.a,29-aug-16,2016,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,37.0,minor injury to ankle,n,nan,"news channel 8, 8/30/16",2016.08.29.a-nsb.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.a-nsb.pdf,5979
